"",gene_symbol,GSM1275862,GSM1275863,GSM1275864,GSM1275865,GSM1275866,GSM1275867,GSM1275868,GSM1275869,GSM1275870,GSM1275871,GSM1275872,GSM1275873,GSM1275874,GSM1275875,GSM1275876,GSM1275877
ENSG00000140519,RHCG,0,2.7569,1.3869,0,0,0.7095,10.807,6.8988,2.6893,0.9461,4.7791,7.8234,0,0.9606,0,1.3689
ENSG00000140521,POLG,774.2485,652.7666,869.5744,1157.7217,1309.2993,412.7315,1363.5942,797.6276,1209.4187,1802.0022,1405.2531,801.3748,920.2779,929.4447,1116.6232,1311.0705
ENSG00000140522,RLBP1,0,0,0,0,0,0,0,0,0.9745,0,0,0,0,0,0,0
ENSG00000140525,FANCI,212.3134,226.4691,266.1257,199.7235,257.111,146.1499,477.1513,225.3965,309.757,345.7584,293.4925,169.4364,281.6897,283.8001,226.9852,388.9747
ENSG00000140526,ABHD2,1669.673,1310.2298,1205.2169,1810.6526,1659.3279,1213.7221,3193.1133,1575.0621,1606.1558,3258.8886,1912.7082,1785.4347,2066.8921,2727.4752,2357.0282,2893.1911
ENSG00000140527,WDR93,5.0293,1.8697,3.7445,2.6166,6.3603,3.58,8.2714,4.8688,0,0,2.8325,1.6721,12.1828,4.8518,1.8402,1.6579
ENSG00000140534,TICRR,35.8568,22.6694,37.5444,36.5992,59.1143,34.6742,71.4273,30.4866,56.9653,105.4467,67.7687,66.8867,48.0079,32.7683,89.4706,62.7412
ENSG00000140538,NTRK3,57.6471,7.8919,4.8078,5.473,5.1794,6.6886,4.9759,5.779,28.0816,65.0669,22.0429,23.1373,10.0271,14.8113,31.475,3.5086
ENSG00000140543,DET1,205.6891,126.0192,179.4312,125.7499,290.897,73.0301,249.7529,209.211,182.2366,326.7378,157.9781,138.5912,208.6609,87.3906,163.514,115.5613
ENSG00000140545,MFGE8,4465.9825,10982.017,4167.0107,11750.7703,6826.2592,8786.5299,18715.4043,6037.7784,8283.0656,19043.6403,18203.5636,7165.8464,5691.7173,13564.214,6789.3452,19186.8857
ENSG00000140548,ZNF710,349.0399,305.9156,317.5324,326.7565,416.1839,159.6565,467.4882,321.4348,487.2894,574.0575,565.7864,319.2543,274.0641,284.1207,396.4217,417.4229
ENSG00000140553,UNC45A,1913.7003,1956.345,1893.704,1993.3378,2110.7198,1171.8979,2889.9921,1601.2264,1897.5656,2494.5666,2476.4942,1770.6411,1483.369,1848.2302,2010.6203,2325.4956
ENSG00000140557,ST8SIA2,0,0,0,0,0,0,0,1.0038,0,0,0,0,0,0,0,0
ENSG00000140563,MCTP2,170.0572,63.5346,97.5499,114.1241,278.7475,117.5788,244.2979,191.0556,124.2965,225.2555,229.8972,115.4522,172.3633,226.6067,210.1464,238.871
ENSG00000140564,FURIN,2110.4583,2471.0382,1943.9989,2262.577,2163.5074,1834.6862,3639.1109,1938.1181,2838.8879,4323.822,3840.1211,2377.6065,1805.3376,3092.9797,2468.7091,3606.9229
ENSG00000140575,IQGAP1,6088.4799,6030.2715,7059.8279,7200.0447,8152.5668,4905.0952,10571.0729,6516.8527,9148.0955,12243.7955,9956.213,6044.4445,6578.9226,7261.2015,8663.0025,9471.6762
ENSG00000140577,CRTC3,1369.7826,1239.8935,1450.0554,1442.5733,1396.6465,854.9494,2292.6115,1404.0748,1864.238,2140.2698,1903.2358,1621.1973,1081.9476,1134.3262,1590.6155,1377.8792
ENSG00000140598,EFL1,564.4669,250.3567,410.2082,361.387,589.8339,252.3621,529.8053,633.3312,509.419,568.4487,412.4483,308.0642,500.6885,373.4565,650.7139,515.2204
ENSG00000140600,SH3GL3,30.073,6.9975,39.2072,6.2388,9.5887,0,7.2543,16.8081,12.5195,3.685,4.7505,7.1432,21.6863,2.9275,19.4755,4.7855
ENSG00000140612,SEC11A,2422.3545,2300.2611,2497.7298,2404.636,2653.6614,1613.3945,3462.8921,2166.2198,2597.8135,3093.0984,3100.2615,2150.9683,1973.4127,2083.8471,2448.6453,2696.3228
ENSG00000140623,SEPT12,0,1.4597,1.4097,0,0,0,0,0,0,0.5435,0,0,0,0,0,0
ENSG00000140632,GLYR1,1785.1837,1699.4953,1813.8004,1869.5013,2121.9408,958.8066,2902.9687,1689.0452,2256.3242,2986.7408,2506.2725,1693.4451,1514.4606,1502.7054,1818.5808,2037.4627
ENSG00000140650,PMM2,422.1397,482.1443,405.6965,496.8648,489.9247,392.9707,944.3425,449.5259,630.6489,955.821,759.1334,468.4546,411.3856,468.2689,553.2044,659.1642
ENSG00000140675,SLC5A2,5.4651,3.6559,11.0421,15.5358,7.9822,1.187,13.0951,4.7404,5.8217,19.6061,8.9964,6.938,2.969,12.2156,7.1517,14.2615
ENSG00000140678,ITGAX,1.6453,2.8182,2.4645,3.6559,1.7243,1.6792,3.3522,2.9944,3.2833,11.9916,6.6802,3.3962,1.8566,0.851,7.3919,6.0466
ENSG00000140682,TGFB1I1,1559.6435,2116.9098,1466.3177,2128.1889,1843.8265,1416.3286,2893.0639,1416.3721,1343.365,3607.6584,3141.695,1344.0546,1334.7068,1794.8583,1771.0463,2439.9856
ENSG00000140688,C16orf58,1628.0104,1408.8457,1437.7917,1407.3287,1816.4384,1023.1031,2297.2211,1542.5588,1845.1644,2466.4981,2295.0141,1618.0601,1389.4539,1641.3949,1817.3896,1903.5041
ENSG00000140691,ARMC5,184.8416,178.8429,172.1044,202.3189,240.41,104.7043,266.6802,180.1846,173.9045,243.7291,276.3042,178.881,215.4121,196.1317,241.1205,270.7092
ENSG00000140694,PARN,403.51,407.5923,394.0222,424.1696,494.0249,319.9226,688.144,425.2402,537.4265,607.7368,633.0269,350.8,408.1098,439.4629,530.94,648.5259
ENSG00000140718,FTO,1204.6134,972.3692,1232.8588,958.9347,1472.5844,815.1768,2306.7727,1399.7951,1669.3144,2124.4504,1695.6641,1415.2747,1118.0408,1061.1104,1644.5284,1517.6578
ENSG00000140740,UQCRC2,1997.4952,1698.5569,1791.6429,1980.0369,2216.2627,1113.6447,2869.6712,1654.5815,2314.3872,2522.2223,2389.0609,1990.6864,1468.9808,1630.3795,2060.4803,2193.722
ENSG00000140743,CDR2,654.859,893.1,573.535,600.7637,699.7951,464.8676,1596.9937,591.2574,1011.1882,1712.9744,1244.5468,983.7403,591.1478,811.3865,811.0599,643.3634
ENSG00000140749,IGSF6,19.4288,2.1819,11.4579,7.0895,18.4915,1.6882,27.92,11.744,12.3331,15.3093,13.3474,8.0351,6.2318,2.9154,15.8606,9.623
